42056;-11.6719,26.7384;MA-11;Laayoune-Sakia El Hamra;Smara
0;-8.9800,28.5300;MA-10;Guelmim-Oued Noun;Zaouiet el Khir
0;-5.1927,35.1188;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zaouiat El Habtiyine El Oulia
0;-8.3192,31.7141;MA-07;Marrakesh-Safi;Zaouiat Echarradi
0;-5.5700,29.9300;MA-08;Drâa-Tafilalet;Zâouïet Dekhlâniyâ
0;-8.5469,32.8116;MA-06;Casablanca-Settat;Zaouiet Ben Jare
0;-9.4912,31.3486;MA-07;Marrakesh-Safi;Zaouït Aït Ouekrim
0;-4.7814,34.8454;MA-01;Tanger-Tetouan-Al Hoceima;Zaouiet Ahmed es Sounni
0;-8.9600,32.5937;MA-06;Casablanca-Settat;Sidi Abdelaziz Ben Iffou
0;-3.4985,34.6297;MA-02;Oriental;Zawyat Moulay Driss
0;-8.8800,29.5100;MA-09;Souss-Massa;Zaouia Timguilcht
0;-9.7929,30.8972;MA-09;Souss-Massa;Zaouia Tilelt
0;-8.5487,33.1299;MA-06;Casablanca-Settat;Zaouiet El Kettani
0;-7.3020,30.3574;MA-08;Drâa-Tafilalet;Tazlmimt
0;-9.0437,30.7472;MA-09;Souss-Massa;Zaouia Tatrirt
0;-5.5000,29.9300;MA-08;Drâa-Tafilalet;Zâouïet el Kediyâ
0;-7.5646,30.4942;MA-08;Drâa-Tafilalet;Zawyat Safkoumt
0;-7.8568,30.7796;MA-09;Souss-Massa;Zawyat Tawyalt
0;-8.6806,30.8498;MA-09;Souss-Massa;Tawrirt
0;-8.8907,31.0352;MA-07;Marrakesh-Safi;Zawyat Tamarout
0;-7.9176,30.6710;MA-09;Souss-Massa;Zawiat Tamarwout
4726;-9.3379,31.8122;MA-07;Marrakesh-Safi;Talmest
0;-7.3351,30.4289;MA-08;Drâa-Tafilalet;Zaouiat Taliza
0;-6.0000,30.4800;MA-08;Drâa-Tafilalet;Zaouia Taleb
0;-6.8062,31.6255;MA-05;Beni Mellal-Khenifra;Zaouia Tahel Hanet
0;-7.9324,30.5358;MA-09;Souss-Massa;Zawyat Tagarkoust
0;-7.2773,31.7401;MA-05;Beni Mellal-Khenifra;Zaouïa-Taglaout
0;-5.9000,30.4500;MA-08;Drâa-Tafilalet;Zaouia Tafrout
0;-8.0815,30.6703;MA-09;Souss-Massa;Taddart
0;-8.5118,30.7623;MA-09;Souss-Massa;Zawyat Tabgourt
22283;-7.6775,31.2251;MA-07;Marrakesh-Safi;Setti Fatma
0;-8.6430,30.5124;MA-09;Souss-Massa;Zaouia Sougrat
0;-5.5300,30.0100;MA-08;Drâa-Tafilalet;Zaouia Sidi Yahya
0;-7.5723,31.4580;MA-07;Marrakesh-Safi;Zawyat Sidi Cghrir ou Malk
0;-2.0718,34.9068;MA-02;Oriental;Zaouia Sidi Slimane
0;-5.5300,29.9100;MA-08;Drâa-Tafilalet;Zâouïet Sidi Sâlah
0;-8.6831,32.8798;MA-06;Casablanca-Settat;Zaouiet Sidi Ghanem
0;-8.6546,31.2469;MA-07;Marrakesh-Safi;Zaouia Sidi Rehal
0;-9.1434,32.6360;MA-07;Marrakesh-Safi;Zaquiat Sidi Erradi
0;-8.3224,30.7381;MA-09;Souss-Massa;Zawyat Sidi Waziz
0;-9.8106,29.7884;MA-09;Souss-Massa;Za Sidi Ouaggag
0;-5.8300,31.6500;MA-08;Drâa-Tafilalet;Zaouia Sidi Moha Ou Ayachi
0;-6.3259,30.6892;MA-08;Drâa-Tafilalet;Zaouia Sidi Mohand Ou Brahim
0;-6.1378,30.6628;MA-08;Drâa-Tafilalet;Zaouia Sidi Mohammed Ou Lahsene
0;-8.9838,30.8037;MA-09;Souss-Massa;Zaouia Sidi Mohammed Ou Lahoussine
0;-9.0133,31.7644;MA-07;Marrakesh-Safi;Zaouiat Sidi Mhamed Ou Marzouq
0;-7.0800,30.2800;MA-09;Souss-Massa;Zaouia Sidi Merri
0;-4.6800,33.7889;MA-03;Fes-Meknes;Douar Errouda Sidi Lahsen
0;-7.3711,30.0709;MA-09;Souss-Massa;Zaouiat Sidi Lahsene Ali
0;-9.5392,31.6248;MA-07;Marrakesh-Safi;Zaouia Sidi Kanoun
0;-7.3580,30.4748;MA-08;Drâa-Tafilalet;Zaouiat Sidi Lahsaïn
0;-4.7175,32.4352;MA-08;Drâa-Tafilalet;Zawyat Sidi Hamza
0;-9.3710,31.7548;MA-07;Marrakesh-Safi;Zaouiat Sidi Hammou Ben Hmida
0;-4.2500,31.2300;MA-08;Drâa-Tafilalet;Zaouia Sidi el Rhazi
0;-7.7167,33.2120;MA-06;Casablanca-Settat;Zawyat Sidi al Mekki
0;-8.0280,33.0028;MA-06;Casablanca-Settat;Zaouiat Sidi El Hawari
0;-7.2645,33.0344;MA-06;Casablanca-Settat;Douar Zaouiat Sidi Ettaghi
0;-3.5868,34.7094;MA-02;Oriental;Sidi el Haj bel Zidi
0;-3.7157,34.5910;MA-02;Oriental;Ez Zaouit Sidi el Hadi
0;-3.7120,34.9341;MA-02;Oriental;Zaouia Sidi el Hach Ali
0;-6.0736,31.2530;MA-08;Drâa-Tafilalet;Zaouia Sidi Cheïkh
0;-8.6416,30.5287;MA-09;Souss-Massa;Zaouia Sidi Chikh
0;-8.6556,32.2114;MA-07;Marrakesh-Safi;Zaouiat Sidi Boutayeb
0;-5.0383,32.5912;MA-08;Drâa-Tafilalet;Douar Ayt Sidi Bou Moussa
0;-9.6304,31.4148;MA-07;Marrakesh-Safi;Zaouia Sidi Boubeker
0;-8.1292,33.3520;MA-06;Casablanca-Settat;Zaouia Sidi Bou Azza
0;-8.4036,32.8767;MA-06;Casablanca-Settat;Zaouiet Sidi Bou Alam
0;-6.8110,31.1690;MA-08;Drâa-Tafilalet;Zawyat Ben Naji
0;-8.9128,30.5716;MA-09;Souss-Massa;Zaouia Sidi ben Mimoun
0;-8.5968,32.1637;MA-07;Marrakesh-Safi;Zaouiat Sidi Bou Mehdi
0;-7.9280,33.0466;MA-06;Casablanca-Settat;Zawyat Sidi Ben Hamdoun
0;-8.6282,30.6196;MA-09;Souss-Massa;Aït Sidi Bella
0;-6.9402,30.9109;MA-08;Drâa-Tafilalet;Zawyat Sidi Atmane
0;-8.5899,31.4306;MA-07;Marrakesh-Safi;Zaouïa Sidi Saïd Amhil
0;-7.6305,31.1165;MA-08;Drâa-Tafilalet;Zaouia Sidi Ali Ou Ahmed
0;-4.3183,31.2827;MA-08;Drâa-Tafilalet;Zawia
0;-4.2600,31.2100;MA-08;Drâa-Tafilalet;Zaouia Sidi Ali Ben Abdallah
0;-5.7100,30.2600;MA-08;Drâa-Tafilalet;Zaouia Sidi Ali
0;-9.2177,30.3303;MA-09;Souss-Massa;Zaouia Sidi Aïad
0;-9.4551,29.5053;MA-09;Souss-Massa;Zawyat Sidi Ahmed ou Moussa
0;-8.6113,31.2390;MA-07;Marrakesh-Safi;Zaouia Sidi Ahmed Ou Brahim
0;-7.9900,32.0083;MA-07;Marrakesh-Safi;Zaoudat Sidi Ahmed Ou Mahmoud
0;-4.8267,34.6098;MA-03;Fes-Meknes;Zaouia Sidi Ahmed
0;-3.6100,34.8800;MA-02;Oriental;Zaouia Sidi Abejelil
0;-6.9552,30.9346;MA-08;Drâa-Tafilalet;Zaouia Sidi Abd er Rahmane el Hajj
0;-7.7299,32.7761;MA-06;Casablanca-Settat;Oulad Abd Sidi En-Nbi
0;-8.9299,31.2723;MA-07;Marrakesh-Safi;Zaouia Sidi Abd el Kader Moumene
0;-5.5838,35.4396;MA-01;Tanger-Tetouan-Al Hoceima;Ezzaouia Essofliya
0;-4.3171,31.2652;MA-08;Drâa-Tafilalet;Zawia Ar Rmel
0;-6.6436,30.5612;MA-08;Drâa-Tafilalet;Zawyat Ouzdine
0;-7.4067,30.9177;MA-08;Drâa-Tafilalet;Zawyat Ourti
0;-5.0416,34.7094;MA-03;Fes-Meknes;Zaouia Oulad Rhezzar
0;-8.7831,31.6599;MA-07;Marrakesh-Safi;Douar Oulad Rahou
0;-8.7421,31.5861;MA-07;Marrakesh-Safi;Zaouiat Ben Lemqaddem
0;-8.4628,32.0468;MA-07;Marrakesh-Safi;Douar Ezzaytouna
0;-7.2442,30.3575;MA-08;Drâa-Tafilalet;Zaouiat Tasga
0;-5.9100,30.4600;MA-08;Drâa-Tafilalet;Zaouia n’Tafroudst
0;-7.1216,30.9392;MA-08;Drâa-Tafilalet;Zawyat Sidi Hmad
0;-6.7672,30.9273;MA-08;Drâa-Tafilalet;Zaouia n’Ourbaz
0;-8.7709,31.4856;MA-07;Marrakesh-Safi;Zaouia Nouasser
0;-6.1895,30.6913;MA-08;Drâa-Tafilalet;Zaouia n’Ikhef n’Ouzrou
0;-8.4794,30.7721;MA-09;Souss-Massa;Zawyat-n-Iguer
0;-6.4478,30.7261;MA-08;Drâa-Tafilalet;Zaouït n Grioûrirâne
0;-8.2732,30.6097;MA-09;Souss-Massa;Zaouia n’Igouramene
0;-7.1270,31.2796;MA-08;Drâa-Tafilalet;Zaouia n’Aït Sidi Aïssa
0;-5.7800,30.2800;MA-08;Drâa-Tafilalet;Zaouia n’Aït Rheddo
0;-8.5925,32.2964;MA-07;Marrakesh-Safi;Zaouia Naïmi
0;-9.5212,31.3653;MA-07;Marrakesh-Safi;Douar Zaouiat Moulay Lahsen
0;-5.5300,30.0600;MA-08;Drâa-Tafilalet;Zaouia Moulay Cherif
0;-5.0080,35.0686;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zaouiat Nourit
0;-4.2500,31.2100;MA-08;Drâa-Tafilalet;Zaouia Mellaïkhaf
0;-7.1828,30.2014;MA-09;Souss-Massa;Zaouiat Maouast
0;-8.7037,32.1166;MA-07;Marrakesh-Safi;Zaouiat Khannoufa
0;-6.1100,30.5800;MA-08;Drâa-Tafilalet;Zaouia Jilmesla
0;-4.2254,31.6167;MA-08;Drâa-Tafilalet;Zawia Jdida
0;-4.3800,34.8500;MA-01;Tanger-Tetouan-Al Hoceima;Zaouia Izourdaz
0;-8.1833,30.4631;MA-09;Souss-Massa;Zawyat Irs
0;-7.4619,31.1718;MA-08;Drâa-Tafilalet;Zouiat n’Inekal
0;-7.4586,31.2068;MA-08;Drâa-Tafilalet;Zaouia Imskene
0;-7.7842,30.4762;MA-09;Souss-Massa;Zawyat Imghid
0;-7.1585,30.2165;MA-09;Souss-Massa;Imaghatn
0;-6.1442,30.6026;MA-08;Drâa-Tafilalet;Zaouia Ifrioun
0;-5.5300,30.0600;MA-08;Drâa-Tafilalet;Zaouia Idida
0;-7.3273,30.9275;MA-08;Drâa-Tafilalet;Idirmiy
0;-8.5952,32.2350;MA-07;Marrakesh-Safi;Zaouiat Lahna
0;-6.1450,32.3729;MA-05;Beni Mellal-Khenifra;Zaouia Hansala
0;-6.1057,30.5271;MA-08;Drâa-Tafilalet;Zaouia Amadagh
0;-4.3000,31.2500;MA-08;Drâa-Tafilalet;Zaouia Guirlane
0;-4.2079,31.6171;MA-08;Drâa-Tafilalet;Zawia Qdima
0;-5.6101,35.4214;MA-01;Tanger-Tetouan-Al Hoceima;Ezzaouia Lfouqiya
0;-5.8100,30.3600;MA-08;Drâa-Tafilalet;Zaouia Fatah
0;-9.5931,29.9503;MA-09;Souss-Massa;Zaouia el Mers
0;-5.8300,30.3600;MA-08;Drâa-Tafilalet;Zaouia el Menjoub
0;-4.8045,34.6123;MA-03;Fes-Meknes;Zaouia el Mekraoui
0;-4.2336,31.2255;MA-08;Drâa-Tafilalet;Zawiyat El Màati
0;-3.8291,33.7240;MA-02;Oriental;Zaouia el Kebira
0;-8.0000,31.7500;MA-07;Marrakesh-Safi;Zaouia El Hedil Mamra
0;-5.0195,31.5290;MA-08;Drâa-Tafilalet;Sidi Al Houwari
0;-4.7000,34.7100;MA-03;Fes-Meknes;Zaouia el Hajami
0;-8.2441,30.6912;MA-09;Souss-Massa;Zaouia el Ferfar
0;-4.2600,31.2500;MA-08;Drâa-Tafilalet;Zaouia el Cadi
0;-5.8600,30.4100;MA-08;Drâa-Tafilalet;Zaouia el Cadi
0;-4.1281,34.3308;MA-03;Fes-Meknes;Zaouia ech Cheïkh
27723;-5.9183,32.6444;MA-05;Beni Mellal-Khenifra;Zawyat ech Cheïkh
0;-5.1349,33.5683;MA-03;Fes-Meknes;Zaouia d’Ifrane
0;-6.0583,33.8706;MA-04;Rabat-Salé-Kénitra;Zawyat al Hakour
0;-3.8373,34.8115;MA-03;Fes-Meknes;Zaouia de Sidi Aïssa
0;-4.4032,35.0012;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zaouit Lmizab
0;-4.2597,34.8315;MA-01;Tanger-Tetouan-Al Hoceima;Zaouia d’Assamar
0;-8.7001,30.5149;MA-09;Souss-Massa;Zaouia Dabdab
0;-8.2474,33.0418;MA-06;Casablanca-Settat;Zaouiat Cherqawa
0;-9.6076,31.6526;MA-07;Marrakesh-Safi;Zaouia Cherif
0;-5.8800,31.6100;MA-08;Drâa-Tafilalet;Zaouia Bouskour
0;-4.9653,35.3117;MA-01;Tanger-Tetouan-Al Hoceima;Bou Ahmed
4490;-4.4881,33.8552;MA-03;Fes-Meknes;Za Bougrine
0;-5.1889,33.5029;MA-03;Fes-Meknes;Zaouia Ben Smine
0;-8.5229,30.5444;MA-09;Souss-Massa;Zaouia ben Nasser
0;-8.5054,32.3011;MA-07;Marrakesh-Safi;Zaouia Ben Hermat Allah
0;-8.5486,31.5391;MA-07;Marrakesh-Safi;Zaouiat Ben Lahouel
0;-8.1226,30.7516;MA-09;Souss-Massa;Ba’balli
0;-6.2223,31.1627;MA-08;Drâa-Tafilalet;Zaouia Asfalene
0;-8.5445,30.6796;MA-09;Souss-Massa;Araz
0;-4.1235,31.7042;MA-08;Drâa-Tafilalet;Zawiat Awfous
0;-3.5768,34.5223;MA-02;Oriental;Zaouia Angad
0;-5.1357,34.6981;MA-03;Fes-Meknes;Ezzaouia Amjour
0;-5.5800,31.5500;MA-08;Drâa-Tafilalet;Zaouia Ali Ou Brahim
0;-5.8169,34.8853;MA-04;Rabat-Salé-Kénitra;Douar Ezzaouia
0;-8.0487,31.4303;MA-07;Marrakesh-Safi;Zaouia Akhich
0;-7.8360,30.4423;MA-09;Souss-Massa;Aït Rahhou
0;-8.2849,30.1543;MA-09;Souss-Massa;Zawyat-Aït Kourbane
0;-7.6593,30.9086;MA-08;Drâa-Tafilalet;Zawiyat Aït Qalla
13299;-5.7253,32.7618;MA-05;Beni Mellal-Khenifra;Zaouïa Aït Ishak
0;-8.6931,30.6234;MA-09;Souss-Massa;Zaouia Aït Cherif
0;-6.5663,30.6181;MA-08;Drâa-Tafilalet;Zawat Awnas
0;-6.1012,31.8318;MA-05;Beni Mellal-Khenifra;Zawyat Ahançal
0;-4.1715,35.1731;MA-01;Tanger-Tetouan-Al Hoceima;Adoûz
0;-8.2600,30.4000;MA-09;Souss-Massa;Zaouia Achendir
0;-9.1363,31.1986;MA-07;Marrakesh-Safi;Zaouia Abd er Rahmane Ou Messaoud
0;-7.3138,30.4956;MA-08;Drâa-Tafilalet;Zaouia Sidi Abdallah Ou Mhand
0;-5.0530,35.2826;MA-01;Tanger-Tetouan-Al Hoceima;Zaouia
0;-6.2674,34.8860;MA-04;Rabat-Salé-Kénitra;Douar Zaouya
0;-5.2664,34.7955;MA-01;Tanger-Tetouan-Al Hoceima;Zaouia
0;-5.1350,34.6535;MA-03;Fes-Meknes;Douar Ezzaouia
0;-4.2300,34.6300;MA-03;Fes-Meknes;Zaouia
0;-5.3712,34.5974;MA-01;Tanger-Tetouan-Al Hoceima;Douar Ezzouia Essoufla
0;-4.5477,34.6079;MA-03;Fes-Meknes;Zaouia
0;-9.0337,32.6336;MA-07;Marrakesh-Safi;Zaouïa
0;-7.9500,30.0500;MA-09;Souss-Massa;Zaouia
0;-5.3072,34.3087;MA-03;Fes-Meknes;Douar Zaamra
0;-6.9864,32.0727;MA-05;Beni Mellal-Khenifra;Zaleguene
0;-5.6536,31.1167;MA-08;Drâa-Tafilalet;Zakar
0;-8.9416,32.1224;MA-07;Marrakesh-Safi;Zaouiat Sidi Kanoune
39099;-2.7329,34.9428;MA-02;Oriental;Zaïo
0;-5.6267,34.9667;MA-01;Tanger-Tetouan-Al Hoceima;Douar Zaydour
0;-5.3409,30.6272;MA-08;Drâa-Tafilalet;Zagour
43752;-5.8384,30.3324;MA-08;Drâa-Tafilalet;Zagora
