19424;-14.8167,11.7333;GW-01;Bafatá;Xitole
0;-15.9167,11.0500;GW;;Uite
0;-15.3031,12.4828;GW-04;Oio;Ufudé
0;-14.0333,12.3667;GW;;Ufoia Ura
0;-14.0333,12.3500;GW;;Ufoia Saje Embalô
0;-14.0333,12.3667;GW;;Ufoia Maundècunda
0;-14.0333,12.3667;GW;;Ufoia Baleri
0;-14.0167,12.3667;GW;;Ufoia Baciro
0;-15.7353,12.4203;GW-06;Cacheu;Uerechole
0;-15.2789,12.6317;GW-04;Oio;Uensacó
0;-15.4281,12.1331;GW-04;Oio;Uenquem
0;-14.6500,12.1667;GW;;Uelingarazinho
0;-14.1667,12.6500;GW;;Uelíngara Solo
0;-14.5500,12.5333;GW;;Uelíngarà
0;-14.5667,12.4833;GW;;Uelíngarà
0;-14.3500,12.4000;GW;;Uelingarà
0;-14.6667,12.1667;GW;;Uelíngara
0;-14.2000,12.1667;GW;;Uelingarà
0;-15.3333,11.2333;GW;;Uediqueia
0;-15.8000,12.1000;GW;;Udeque
0;-15.4339,12.4017;GW-04;Oio;Udasse
0;-15.6000,12.2667;GW;;Udamo
0;-16.0333,12.0667;GW;;Ucunhe
0;-13.8000,11.8667;GW;;Uchà
0;-16.0833,11.7667;GW;;Ubisse
0;-15.6000,11.5333;GW;;Uato Mandinga
0;-15.6000,11.5333;GW;;Uato Fula
0;-15.6000,11.5333;GW;;Uato Balanta
0;-15.4483,12.2064;GW-04;Oio;Uatiné
0;-15.7667,12.1333;GW;;Uasse
0;-14.4167,12.6833;GW;;Uassadu
0;-15.1192,12.6167;GW-04;Oio;Uassadu
0;-15.1278,12.2250;GW-04;Oio;Uassado
0;-15.4833,11.5667;GW;;Uassado
0;-15.9167,11.1167;GW;;Uassá
0;-14.8667,12.5667;GW;;Uaranto
0;-15.3167,12.4167;GW;;Uarancanda
0;-15.2667,11.5000;GW;;Uáral
0;-14.6000,12.3500;GW;;Uaquilar
0;-15.5333,12.2667;GW;;Uaqueri
0;-15.3819,12.0253;GW-04;Oio;Uaque
0;-15.5997,12.0842;GW-04;Oio;Uápete
0;-15.7128,12.3533;GW-06;Cacheu;Uanquili
0;-15.4136,12.1364;GW-04;Oio;Uanquelim
0;-15.8164,12.4331;GW-06;Cacheu;Uánhal
0;-15.0833,11.2833;GW;;Uangane
0;-15.0667,11.2833;GW;;Uangane
0;-14.8500,11.5833;GW;;Uanè
0;-15.0500,11.8500;GW;;Uaná Porto
0;-15.3500,11.7167;GW;;Uanandim
0;-15.0833,11.7500;GW;;Uaná Beafada
0;-14.8500,11.3500;GW;;Uali Sachà
0;-14.6833,12.6500;GW;;Ualicunda
0;-15.4333,12.4667;GW;;Ualia
0;-15.1078,12.3508;GW-04;Oio;Uália
0;-15.4833,12.2833;GW;;Ualia
0;-15.2167,11.5167;GW;;Ualada
0;-14.6167,12.0667;GW;;Uajê Mandinga
0;-14.6167,12.0667;GW;;Uajê Fula
0;-14.7000,12.2667;GW;;Uaè
0;-14.7167,12.2667;GW;;Uachicò
0;-15.9833,11.9667;GW;;Uáchicha
0;-15.9500,12.1167;GW;;Uache
0;-14.4500,12.2167;GW;;Uacaba
0;-14.6167,11.9500;GW;;Uacaba
0;-15.5167,12.2500;GW;;Uabe
0;-14.6167,11.6833;GW;;Turrà
0;-15.2467,12.4411;GW-04;Oio;Tungina
0;-13.9167,12.4000;GW;;Tumbum Jansoma
0;-14.9667,12.2833;GW;;Tumania
0;-15.0667,11.8833;GW;;Tumaná
0;-14.9333,11.1000;GW;;Tubadim
0;-14.9833,11.8333;GW;;Tubácutà
0;-15.9667,12.1333;GW;;Trangal
0;-14.8333,11.5500;GW;;Torcino
0;-14.9667,12.6667;GW;;Tonhatabá
0;-14.4333,12.2667;GW;;Tonhatabá
0;-15.0167,11.4833;GW;;Tomburã
0;-15.4167,11.3000;GW;;Tombali
1109;-15.4000,11.7833;GW;;Tite
0;-15.0167,12.4500;GW;;Tita Sambo
0;-15.7500,11.8000;GW;;Tiquina
0;-16.2000,11.5167;GW;;Tingaga
0;-15.4500,12.1000;GW;;Tinca
0;-15.1833,11.4167;GW;;Timbó
0;-14.5333,12.3000;GW;;Timbintô
0;-15.8519,12.0708;GW-06;Cacheu;Tímate
0;-14.5500,12.3333;GW;;Tienecunda
0;-15.7536,12.2111;GW-06;Cacheu;Ticache
0;-16.0333,11.8333;GW;;Tépil
0;-15.0978,12.3833;GW-04;Oio;Tento
0;-16.6286,12.3447;GW-06;Cacheu;Tenhate
0;-14.9500,12.6833;GW;;Tendinto
0;-14.6667,12.6167;GW;;Tendinto
0;-14.7333,11.6667;GW;;Tendinto
0;-13.6500,12.4667;GW;;Tendeiro
0;-14.6000,11.8833;GW;;Tencolom
0;-15.1667,12.4500;GW;;Tencó
0;-13.9667,12.6333;GW;;Temanto
0;-15.3372,12.4728;GW-04;Oio;Temanto
0;-13.8000,12.3667;GW;;Temanco
0;-16.2333,11.9667;GW;;Temanbu
0;-14.6167,11.6667;GW;;Têliel
0;-15.9333,12.0833;GW;;Tel
0;-15.5025,12.2211;GW-04;Oio;Tehé
0;-16.0492,12.2658;GW-06;Cacheu;Tecache
0;-15.6714,12.2169;GW-04;Oio;Tebedè
0;-16.2000,11.9500;GW;;Tebebe
0;-15.0167,11.7833;GW;;Tébè
0;-14.1500,12.2667;GW;;Tassilimã
0;-15.2833,11.5500;GW;;Tarna
0;-13.7333,11.8333;GW;;Tarije
0;-14.8833,11.1833;GW;;Tarcuré
0;-15.5833,11.9000;GW;;Taquir
0;-14.5500,12.2667;GW;;Tantã Cossé Samba
0;-14.5500,12.2500;GW;;Tantã Cossé Bacari
0;-14.7500,11.6667;GW;;Tangali
0;-15.0500,11.0333;GW;;Tanene
0;-14.9833,11.0167;GW;;Tanene
0;-15.3822,12.3911;GW-04;Oio;Tancroal
0;-15.0522,12.4364;GW-04;Oio;Tambicó
0;-15.2767,12.4258;GW-04;Oio;Tambato Mandinga
0;-15.2783,12.4825;GW-04;Oio;Tambato
0;-15.2589,12.2006;GW-04;Oio;Tambato
0;-15.0078,12.5108;GW-04;Oio;Tambandinto
0;-13.9833,12.2833;GW;;Tambandinto
0;-14.8667,11.2000;GW;;Tambambófa
0;-15.3833,11.2833;GW;;Tambacumba
0;-15.5667,12.4500;GW;;Tambacruto
0;-14.1667,12.3000;GW;;Tamassi
0;-15.5783,12.1336;GW-04;Oio;Tama
0;-14.6333,12.4833;GW;;Taltó
0;-14.9333,11.9833;GW;;Taliuará
0;-14.5500,12.5500;GW;;Talicó
0;-15.4722,12.4608;GW-04;Oio;Talicó
0;-15.1500,12.4333;GW;;Talicó
0;-15.2775,12.2114;GW-04;Oio;Talicó
0;-14.8000,12.0000;GW;;Talata
0;-14.9000,11.2333;GW;;Taláià
0;-14.2833,12.4667;GW;;Taibatà
0;-14.8833,11.9667;GW;;Taibatà
0;-15.0667,11.0000;GW;;Tafor
0;-14.9500,11.0333;GW;;Tade
0;-14.6000,12.5167;GW;;Tabaúma
0;-14.5500,12.2333;GW;;Tabatô
0;-14.7500,12.0333;GW;;Tabatô
0;-14.1167,12.6167;GW;;Tabassi
0;-15.3178,12.4967;GW-04;Oio;Tabandinto
0;-14.6000,12.1000;GW;;Tabandinto
0;-15.3833,11.1833;GW;;Tabanca Velha
0;-15.2000,11.6667;GW;;Tabanca Nova
0;-15.4833,11.5667;GW;;Tabanca Nova
0;-15.4333,11.4667;GW;;Tabanca Nova
0;-15.4833,11.5833;GW;;Tabanca Grande
0;-14.7167,12.3333;GW;;Tabalò
0;-14.1167,12.6333;GW;;Tabajenque
0;-14.3500,12.4833;GW;;Tabajenque
0;-15.4917,12.4522;GW-06;Cacheu;Tabajã
0;-14.1500,12.4000;GW;;Tabajã
0;-13.8500,12.0833;GW;;Tabadará
0;-14.0667,11.8500;GW;;Sutumaca
0;-13.9667,12.2833;GW;;Sutucó
0;-14.3000,12.5000;GW;;Sutubá
0;-16.4744,12.3064;GW-06;Cacheu;Susana
0;-15.7833,11.7833;GW;;Suro
0;-15.6994,12.3994;GW-06;Cacheu;Suranse
0;-15.3667,12.3667;GW;;Suntucuiá
0;-16.2333,12.4000;GW;;Suncutoto
0;-14.7833,12.4667;GW;;Sunà
0;-15.5833,11.9833;GW;;Sumo
0;-14.6833,12.6333;GW;;Sumbundo
0;-14.3167,12.3167;GW;;Sumacunda
0;-14.9333,12.4833;GW;;Sumabanta
0;-14.9833,12.5833;GW;;Sulucó
0;-14.1333,11.7167;GW;;Sudo Lêgal
0;-15.1833,12.5000;GW;;Sucutoto
0;-14.6500,12.6167;GW;;Sucutò
0;-14.4833,12.4000;GW;;Sucutó
0;-15.5833,12.0000;GW;;Sucutó
0;-15.5167,11.6000;GW;;Sucuto
0;-14.8500,12.2167;GW;;Sucuta
0;-14.6500,12.0667;GW;;Sucuta
0;-15.2333,11.6833;GW;;Sucuta
0;-15.3500,11.4667;GW;;Sucuta
0;-16.6519,12.3497;GW-06;Cacheu;Sucujaque
0;-15.1639,12.1922;GW-04;Oio;Suarecunda
0;-15.5833,12.4000;GW;;Suar
0;-13.9500,12.4167;GW;;Suame
0;-15.2667,11.2667;GW;;Suã
0;-14.9167,12.4667;GW;;Sototô
0;-14.5333,12.3500;GW;;Sotocoi
0;-14.8833,11.2667;GW;;Sori Uoreá
0;-15.4897,12.2408;GW-04;Oio;Sorimone
0;-14.6333,11.6833;GW;;Sorguidê
0;-14.5500,12.6500;GW;;Sora
0;-14.1833,12.6333;GW;;Soncocunda
0;-16.1325,12.4053;GW-06;Cacheu;Sonco
0;-14.7667,11.9500;GW;;Soncò
2753;-14.4833,12.4000;GW-10;Gabú;Sonaco
0;-15.3667,11.4333;GW;;Somba
0;-15.5500,11.9333;GW;;Som
0;-14.8500,12.6500;GW;;Solucocum
0;-15.3656,12.3403;GW-04;Oio;Solinto Mandinga
0;-15.2706,12.4019;GW-04;Oio;Solinto
0;-15.3542,12.0383;GW-04;Oio;Sogume
0;-15.1000,11.1833;GW;;Sogobol
0;-15.1206,12.5356;GW-04;Oio;Sobeá
0;-14.8667,12.6667;GW;;Sitatô
0;-14.2167,12.6500;GW;;Sissaucunda Samanco
0;-14.2167,12.6333;GW;;Sissaucunda Aliu
0;-14.1167,12.2667;GW;;Sira Murlel
0;-14.6167,12.1167;GW;;Sirael
0;-15.5000,11.5833;GW;;Sintra
0;-15.3303,12.1822;GW-04;Oio;Sinre
0;-14.6167,12.1667;GW;;Sinjola
0;-14.6667,12.0333;GW;;Sinjanhe
0;-13.8167,12.3500;GW;;Sinjã
0;-15.1956,12.0939;GW-04;Oio;Singa
0;-15.5089,12.4658;GW-06;Cacheu;Sindina
0;-14.0333,11.7167;GW;;Sinchuro Paraual
0;-14.0000,11.9667;GW;;Sinchuro Binasse
0;-14.2833,12.2833;GW;;Sinchuro
0;-14.7000,11.6500;GW;;Sinchum
0;-14.7833,12.4500;GW;;Sincho
0;-14.8000,12.0667;GW;;Sincho
0;-14.2500,12.5833;GW;;Sinchã Ussumane
0;-14.3833,12.2500;GW;;Sinchã Ussumane
0;-14.6667,12.1833;GW;;Sinchã Ussumane
0;-14.3500,12.1833;GW;;Sinchã Ussumane
0;-14.1000,12.4667;GW;;Sinchã Usso
0;-14.6333,11.9167;GW;;Sinchã Usso
0;-14.2833,12.3333;GW;;Sinchã Umero
0;-14.6500,11.9333;GW;;Sinchã Umaru
0;-14.5833,12.5333;GW;;Sinchã Umaro
0;-14.7500,12.5167;GW;;Sinchã Umaro
0;-14.5500,12.4167;GW;;Sinchã Umaro
0;-14.7000,12.3000;GW;;Sinchã Umaro
0;-14.8167,12.0333;GW;;Sinchã Umaro
0;-14.6333,12.0333;GW;;Sinchã Umaro
0;-14.8667,11.7500;GW;;Sinchã Umaro
0;-14.3000,12.4333;GW;;Sinchã Úlò
0;-14.3667,12.3167;GW;;Sinchã Ualom
0;-14.6000,12.6833;GW;;Sinchã Uale
0;-14.8500,12.4667;GW;;Sinchã Uale
0;-14.7000,12.3500;GW;;Sinchã Uale
0;-14.7333,12.2667;GW;;Sinchã Uachò
0;-14.7167,12.2667;GW;;Sinchã Uachicò Silati
0;-14.6500,12.4667;GW;;Sinchã Turè
0;-14.6500,12.1667;GW;;Sinchã Tunturum
0;-14.6167,11.7000;GW;;Sinchã Tumani
0;-13.8833,12.3500;GW;;Sinchã Tumané
0;-14.3167,12.3000;GW;;Sinchã Totala
0;-15.0500,12.6333;GW;;Sinchã Tota
0;-14.2167,12.2667;GW;;Sinchã Tombõ
0;-14.8667,12.0167;GW;;Sinchã Tenquiname
0;-14.2000,12.5833;GW;;Sinchã Tenem
0;-14.2833,12.4167;GW;;Sinchã Talata
0;-14.7000,12.3500;GW;;Sinchã Talata
0;-15.0000,12.6333;GW;;Sinchã Talá
0;-14.7667,12.2167;GW;;Sinchã Sutu
0;-14.6000,12.2167;GW;;Sinchã Suquel
0;-14.2333,12.5000;GW;;Sinchã Suncarò
0;-14.1167,12.3000;GW;;Sinchã Sulei
0;-14.7000,11.6333;GW;;Sinchã Sudo
0;-14.5000,12.3833;GW;;Sinchã Sucuta
0;-13.7667,12.3667;GW;;Sinchã Sori Jomel
0;-14.2000,12.4833;GW;;Sinchã Sori
0;-13.6500,12.4500;GW;;Sinchã Sori
0;-14.1167,12.3000;GW;;Sinchã Sori
0;-14.5667,11.9000;GW;;Sinchã Sori
0;-14.8667,12.5500;GW;;Sinchã Sólò
0;-14.2000,12.5000;GW;;Sinchã Serifo
0;-14.3167,12.2667;GW;;Sinchã Serifo
0;-14.6667,12.2000;GW;;Sinchã Sene
0;-14.8333,11.8667;GW;;Sinchã Senco
0;-13.9500,12.3333;GW;;Sinchã Sêlu
0;-15.2667,12.5167;GW;;Sinchã Seidi
0;-14.1667,12.2833;GW;;Sinchã Seco
0;-14.3500,12.6000;GW;;Sinchã Sêbò
0;-14.2667,12.4000;GW;;Sinchã Sarmento
0;-13.7333,12.3500;GW;;Sinchã Sara
0;-14.3167,12.4167;GW;;Sinchã Sambeli
0;-14.4833,12.3333;GW;;Sinchã Sambeli
0;-14.1333,12.4667;GW;;Sinchã Sambel
0;-14.8167,12.0333;GW;;Sinchã Sambel
0;-14.1833,12.4667;GW;;Sinchã Samba Taco
0;-14.6833,12.3500;GW;;Sinchã Samba Sunto
0;-14.2500,12.2667;GW;;Sinchã Samba Seidi
0;-14.8167,12.4333;GW;;Sinchã Samba Sano
0;-14.8167,12.4333;GW;;Sinchã Samba Sajo
0;-14.8000,12.5667;GW;;Sinchã Sambaro
0;-14.7333,12.2500;GW;;Sinchã Sambaro
0;-14.7167,12.2667;GW;;Sinchã Samba Ogo
0;-14.2500,12.5000;GW;;Sinchã Sambanja
0;-14.1333,12.5000;GW;;Sinchã Samba Jiba
0;-14.4500,12.3833;GW;;Sinchã Samba Jau
0;-14.3833,11.7667;GW;;Sinchã Samba Jã Jã
0;-14.3833,12.4667;GW;;Sinchã Samba Jabu
0;-14.4167,12.4000;GW;;Sinchã Samba Jabu
0;-14.8167,11.9833;GW;;Sinchã Sambaite
0;-14.4167,12.3333;GW;;Sinchã Samba Ióbà
0;-14.2167,12.4833;GW;;Sinchã Samba Ia
0;-14.2667,12.4333;GW;;Sinchã Sambael
0;-14.6333,12.1667;GW;;Sinchã Samba Camarà
0;-14.4000,12.3667;GW;;Sinchã Samba Baldè
0;-13.9500,12.6667;GW;;Sinchã Samba
0;-14.2500,12.5667;GW;;Sinchã Samba
0;-14.1000,12.4000;GW;;Sinchã Samba
0;-14.7833,12.3833;GW;;Sinchã Samba
0;-14.2333,12.3000;GW;;Sinchã Samba
0;-14.3667,12.2833;GW;;Sinchã Samba
0;-14.8167,12.2167;GW;;Sinchã Samba
0;-14.7000,11.9500;GW;;Sinchã Samba
0;-14.9833,12.5167;GW;;Sinchã Salum
0;-14.2333,12.5167;GW;;Sinchã Saliu
0;-14.4833,12.3833;GW;;Sinchã Saliu
0;-14.1500,12.4833;GW;;Sincha Sálà
0;-14.3000,12.5333;GW;;Sinchã Sajori
0;-14.6500,12.1833;GW;;Sinchã Sajo
0;-14.6667,11.9667;GW;;Sinchã Sajo
0;-14.5833,12.0667;GW;;Sinchã Saído
0;-14.7667,11.7000;GW;;Sinchã Saído
0;-14.2833,12.3000;GW;;Sinchã Sabo
0;-13.6833,12.4000;GW;;Sinchã Quinsé
0;-14.6500,12.2167;GW;;Sinchã Queuto
0;-14.8667,12.4500;GW;;Sinchã Quêtê
0;-14.6667,11.9833;GW;;Sinchã Quendo
0;-14.8333,12.2500;GW;;Sinchã Quedà
0;-14.4667,12.4167;GW;;Sinchã Quecuta
0;-14.5000,12.3833;GW;;Sinchã Quecuta
0;-14.1333,12.5167;GW;;Sinchã Quecoi
0;-14.6333,12.0000;GW;;Sinchã Queba
0;-14.8833,12.4500;GW;;Sinchã Purom
0;-15.0500,12.6000;GW;;Sinchã Pulo Seidi
0;-14.6333,11.9500;GW;;Sinchã Puloro
0;-14.8167,12.5000;GW;;Sinchã Porto
0;-14.9667,12.6667;GW;;Sinchã Portari
0;-14.2167,12.6500;GW;;Sinchã Perim
0;-13.9167,12.5333;GW;;Sinchã Pati
0;-14.3833,12.4667;GW;;Sinchã Patè Curé
0;-14.3667,12.5167;GW;;Sinchã Pátè
0;-14.1167,12.3167;GW;;Sinchã Pátè
0;-13.9000,12.5500;GW;;Sinchã Ôgò Lamoi
0;-13.9167,12.5500;GW;;Sinchã Ôgò
0;-14.3333,12.5500;GW;;Sinchã Nunco
0;-14.6667,11.9000;GW;;Sinchã Ninha
0;-14.6667,12.0000;GW;;Sinchã Nhobo
0;-14.4333,12.3833;GW;;Sinchã Nhinha
0;-14.4833,12.2500;GW;;Sinchã Nhapo
0;-14.5000,12.3333;GW;;Sinchã Nhaco
0;-14.8667,12.5667;GW;;Sinchã Nambò
0;-14.0167,12.6167;GW;;Sinchã Nafà
0;-14.6500,11.9667;GW;;Sinchã Mussa
0;-14.8667,11.9167;GW;;Sinchã Mussa
0;-14.3333,12.5833;GW;;Sinchã Montã
0;-13.6833,12.4500;GW;;Sinchã Montã
0;-14.6500,12.1833;GW;;Sinchã Momo
0;-13.8833,12.5667;GW;;Sinchã Mólò
0;-14.6000,12.2167;GW;;Sinchã Mólô
0;-14.3000,12.6000;GW;;Sinchã Molele
0;-14.5000,12.3833;GW;;Sinchã Modè Uri
0;-14.4500,12.4167;GW;;Sinchã Meta Seidi
0;-15.1333,12.5000;GW;;Sinchã Meta
0;-15.0578,12.2850;GW-04;Oio;Sinchã Meta
0;-15.8333,12.2333;GW;;Sinchã Meta
0;-14.6333,11.7167;GW;;Sinchã Maundè Nhanjô
0;-14.6333,11.7000;GW;;Sinchã Maundè Bucô
0;-14.8333,11.9333;GW;;Sinchã Maundè
0;-14.9000,12.5333;GW;;Sinchã Massa
0;-13.6833,12.4500;GW;;Sinchã Mariu
0;-15.1333,12.4833;GW;;Sinchã Mansaroto
0;-14.2667,12.5833;GW;;Sinchã Manjã
0;-14.4667,12.4167;GW;;Sinchã Mamudu
0;-14.6833,12.1500;GW;;Sinchã Mamudo
0;-14.8000,11.9667;GW;;Sinchã Mamajã
0;-15.0333,12.6667;GW;;Sinchã Mamadu Nhobum
0;-14.2167,12.3000;GW;;Sinchã Mamadu Embálô
0;-14.1500,12.5167;GW;;Sinchã Mamadu
0;-15.6672,12.4003;GW-06;Cacheu;Sinchã Mamadu
0;-14.1500,12.4000;GW;;Sinchã Mamadu
0;-14.3500,12.2500;GW;;Sinchã Mamadu
0;-14.6333,12.2000;GW;;Sinchã Mamadu
0;-14.6667,11.6667;GW;;Sinchã Mamadu
0;-14.1167,12.3500;GW;;Sinchã Mamadi
0;-14.7500,11.9167;GW;;Sinchã Mamadi
0;-13.9167,12.3667;GW;;Sinchã Mali
0;-14.7000,12.1333;GW;;Sinchã Malam Baio
0;-14.4667,12.5667;GW;;Sinchã Malam
0;-14.6000,12.0500;GW;;Sinchã Malam
0;-14.6000,11.9667;GW;;Sinchã Malam
0;-15.0000,12.6333;GW;;Sinchã Malã
0;-14.7833,11.6833;GW;;Sinchã Madiu
0;-14.2833,12.5500;GW;;Sinchã Madina Maudu
0;-14.3333,12.5833;GW;;Sinchã Madina Ierò
0;-14.0500,12.3833;GW;;Sinchã Madina
0;-14.8667,12.2333;GW;;Sinchã Madina
0;-15.0350,12.0514;GW-04;Oio;Sinchã Madina
0;-13.8000,12.3667;GW;;Sinchã Mãdi Maudô
0;-14.7333,12.2167;GW;;Sinchã Mâdi
0;-14.0667,12.6167;GW;;Sinchã Luntã
0;-14.2167,12.2667;GW;;Sinchã Luntã
0;-14.8833,12.4500;GW;;Sinchã Lumbato
0;-14.7000,11.9833;GW;;Sinchã Leuro
0;-13.7667,12.4000;GW;;Sinchã Lenquetó
0;-14.5667,12.0667;GW;;Sinchã Lenquê
0;-13.9000,12.5333;GW;;Sinchã Lamoi
0;-14.6000,11.9833;GW;;Sinchã Lamine
0;-14.9667,12.1500;GW;;Sinchã Lama
0;-14.7167,11.8000;GW;;Sinchã Lamã
0;-13.8833,12.3333;GW;;Sinchã Lâli
0;-14.3667,12.1667;GW;;Sinchã Lale
0;-14.5000,12.3833;GW;;Sinchã Laibe
0;-14.6667,11.6667;GW;;Sinchã Labi
0;-14.6000,12.5667;GW;;Sinchã Jumboro
0;-14.2667,12.3333;GW;;Sinchã Jujô
0;-13.7333,12.5000;GW;;Sinchã Jótè
0;-13.9000,12.6500;GW;;Sinchã Jomé
0;-14.7000,12.2000;GW;;Sinchã Jobor
0;-14.6667,12.0000;GW;;Sinchã Jobo
0;-13.9667,12.3500;GW;;Sinchã Jobel
0;-14.8667,12.2333;GW;;Sinchã Jobel
0;-14.4000,12.2833;GW;;Sinchã Jité
0;-13.8333,12.6000;GW;;Sinchã Jidè
0;-13.8833,12.4167;GW;;Sinchã Jaucunda
0;-14.8333,12.2333;GW;;Sinchã Jau
0;-14.6167,12.4333;GW;;Sinchã Jango
0;-14.1333,12.4500;GW;;Sinchã Jali
0;-14.7000,12.3167;GW;;Sinchã Jai
0;-14.8167,12.2500;GW;;Sinchã Jai
0;-14.4333,12.0667;GW;;Sinchã Jai
0;-13.9000,12.6667;GW;;Sinchã Jádi
0;-14.6500,12.1833;GW;;Sinchã Issa Seidi
0;-14.4500,12.3667;GW;;Sinchã Ióbà
0;-14.6667,11.9833;GW;;Sinchã Iobà
0;-14.7000,12.0167;GW;;Sinchã Infali
0;-14.5667,12.1833;GW;;Sinchã Indè
0;-14.2333,12.5167;GW;;Sinchã Imabè
0;-14.5667,12.0667;GW;;Sinchã Ierondim
0;-14.4167,12.3000;GW;;Sinchã Iero Mólô
0;-14.8167,12.3833;GW;;Sinchã Iero Maro
0;-14.6833,12.1667;GW;;Sinchã Iero Leluma
0;-14.1333,12.6667;GW;;Sinchã Iero Jálò
0;-14.2333,12.4833;GW;;Sinchã Iero Jaga
0;-14.8000,12.2500;GW;;Sinchã Iero Demori
0;-14.6667,11.9500;GW;;Sinchã Ierobá
0;-14.6500,11.9167;GW;;Sinchã Ierobá
0;-14.7500,12.2500;GW;;Sinchã Iero
0;-14.1667,12.2167;GW;;Sinchã Içaga
0;-14.3167,12.2667;GW;;Sinchã Iáià
0;-13.9167,12.5667;GW;;Sinchã Hélà
0;-14.6667,11.9667;GW;;Sinchã Guelage
0;-14.7500,12.6833;GW;;Sinchã Guelà
0;-13.6833,12.3500;GW;;Sinchã Guelà
0;-14.6333,12.2333;GW;;Sinchã Geno
0;-14.3500,12.2667;GW;;Sinchã Gêba
0;-14.6333,12.0167;GW;;Sinchã Gaulo
0;-14.2500,12.3500;GW;;Sinchã Garcia
0;-14.6500,12.1833;GW;;Sinchã Gando
0;-14.5333,12.4167;GW;;Sinchã Galo
0;-14.5500,12.1333;GW;;Sinchã Galeà
0;-13.6667,12.3333;GW;;Sinchã Gaè
0;-14.8667,12.6667;GW;;Sinchã Fugà
0;-14.8167,12.2500;GW;;Sinchã Fouro
0;-14.8167,12.4333;GW;;Sinchã Folonco
0;-14.3333,12.3667;GW;;Sinchã Fato
0;-14.1833,12.5000;GW;;Sinchã Farina
0;-14.8167,12.5000;GW;;Sinchã Farim
0;-14.8667,12.5500;GW;;Sinchã Farã
0;-14.6333,11.9333;GW;;Sinchã Fará
0;-14.7000,12.5667;GW;;Sinchã Fanca
0;-14.6333,12.4333;GW;;Sinchã Fanca
0;-14.7667,12.1833;GW;;Sinchã Famora
0;-14.3500,12.2500;GW;;Sinchã Fali
0;-14.9667,12.6833;GW;;Sinchã Fajonquito
0;-14.8000,11.9833;GW;;Sinchã Faja
0;-14.8500,12.4667;GW;;Sinchã Facò
